Model,BestParams,Accuracy,Precision,Recall,F1,AUC
RandomForest (tuned),"{'bootstrap': True, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 469}",0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9243185078909613
LogReg (tuned),"{'C': 1, 'penalty': 'l2'}",0.8260869565217391,0.8240740740740741,0.8725490196078431,0.8476190476190476,0.9019607843137255
SVM (tuned),"{'C': np.float64(29.630728443102125), 'gamma': np.float64(0.04655041271999773)}",0.8097826086956522,0.7964601769911505,0.8823529411764706,0.8372093023255814,0.900286944045911
DecisionTree (tuned),"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.7880434782608695,0.8181818181818182,0.7941176470588235,0.8059701492537313,0.8432568149210904
