Model,Accuracy,Precision,Recall,F1,AUC
RandomForest,0.8315217391304348,0.8380952380952381,0.8627450980392157,0.8502415458937198,0.9200741272118604
SVM,0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9065040650406505
LogReg,0.8260869565217391,0.8240740740740741,0.8725490196078431,0.8476190476190476,0.9019607843137255
DecisionTree,0.7282608695652174,0.76,0.7450980392156863,0.7524752475247525,0.726207556193209
