Model,Accuracy,Precision,Recall,F1,AUC,Type
DecisionTree,0.7282608695652174,0.76,0.7450980392156863,0.7524752475247525,0.726207556193209,Baseline
DecisionTree (tuned),0.7880434782608695,0.8181818181818182,0.7941176470588235,0.8059701492537313,0.8432568149210904,Tuned
LogReg,0.8260869565217391,0.8240740740740741,0.8725490196078431,0.8476190476190476,0.9019607843137255,Baseline
LogReg (tuned),0.8260869565217391,0.8240740740740741,0.8725490196078431,0.8476190476190476,0.9019607843137255,Tuned
RandomForest,0.8315217391304348,0.8380952380952381,0.8627450980392157,0.8502415458937198,0.9200741272118604,Baseline
RandomForest (tuned),0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9243185078909613,Tuned
SVM,0.8043478260869565,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.9065040650406505,Baseline
SVM (tuned),0.8097826086956522,0.7964601769911505,0.8823529411764706,0.8372093023255814,0.900286944045911,Tuned
